,score,n_files,HIST_EQUALIZATION,GAUSSIAN_SIZE,CANNY_LOW,CANNY_HIGH,DOWNSCALING_FACTOR,MAX_AREA,LANE_ANGLE

0,0.3598891108030881,27,True,5,50,100,0.1,10,
0,0.5138046853287758,27,False,5,8,20,0.1,10,
0,0.5209727767573858,27,False,5,8,20,0.1,20,
0,0.5305671309991093,27,False,5,8,20,0.1,30,
0,0.44469980999232606,65,False,5,8,20,0.1,30,
0,0.4484651151681649,65,False,5,8,20,0.1,10,
0,0.39693352182014835,65,True,5,50,100,0.1,10,
0,0.5349365344351898,65,False,5,8,20,0.2,10,
0,0.5477605928133602,65,False,5,8,20,0.2,10,
,score,n_files,HOUGH_OPENCV,HIST_EQUALIZATION,GAUSSIAN_SIZE,CANNY_LOW,CANNY_HIGH,DOWNSCALING_FACTOR,MAX_AREA,LANE_ANGLE,CROP_TOP
0,0.6120291759320746,65,True,False,5,8,20,0.2,0,,100
,score,n_files,HOUGH_OPENCV,HIST_EQUALIZATION,GAUSSIAN_SIZE,CANNY_LOW,CANNY_HIGH,DOWNSCALING_FACTOR,MAX_AREA,LANE_ANGLE,CROP_TOP
0,0.6558244205499472,65,True,False,5,8,20,0.2,21,,100
,score,n_files,HOUGH_OPENCV,HIST_EQUALIZATION,GAUSSIAN_SIZE,CANNY_LOW,CANNY_HIGH,DOWNSCALING_FACTOR,MAX_AREA,LANE_ANGLE,CROP_TOP
0,0.6558244205499472,65,True,False,5,8,20,0.2,22,,100
,score,n_files,HOUGH_OPENCV,HIST_EQUALIZATION,GAUSSIAN_SIZE,CANNY_LOW,CANNY_HIGH,DOWNSCALING_FACTOR,MAX_AREA,LANE_ANGLE,CROP_TOP
0,0.6532987097211511,65,True,False,5,8,20,0.2,28,,100
,score,n_files,HOUGH_OPENCV,HIST_EQUALIZATION,GAUSSIAN_SIZE,CANNY_LOW,CANNY_HIGH,DOWNSCALING_FACTOR,MAX_AREA,LANE_ANGLE,CROP_TOP
0,0.6532987097211511,65,True,False,5,8,20,0.2,29,,100
,score,n_files,HOUGH_OPENCV,HIST_EQUALIZATION,GAUSSIAN_SIZE,CANNY_LOW,CANNY_HIGH,DOWNSCALING_FACTOR,MAX_AREA,LANE_ANGLE,CROP_TOP
0,0.6391737488924268,65,True,False,5,8,20,0.2,21,,100
,score,n_files,HOUGH_OPENCV,HIST_EQUALIZATION,GAUSSIAN_SIZE,CANNY_LOW,CANNY_HIGH,DOWNSCALING_FACTOR,MAX_AREA,LANE_ANGLE,CROP_TOP
0,,65,True,False,5,8,20,0.2,21,,100
,score,n_files,HOUGH_OPENCV,HIST_EQUALIZATION,GAUSSIAN_SIZE,CANNY_LOW,CANNY_HIGH,DOWNSCALING_FACTOR,MAX_AREA,LANE_ANGLE,CROP_TOP
0,,65,True,False,5,8,20,0.2,21,,100
,score,n_files,HOUGH_OPENCV,HIST_EQUALIZATION,GAUSSIAN_SIZE,CANNY_LOW,CANNY_HIGH,DOWNSCALING_FACTOR,MAX_AREA,LANE_ANGLE,CROP_TOP
0,,65,True,False,5,8,20,0.2,21,,100
,score,n_files,HOUGH_OPENCV,HIST_EQUALIZATION,GAUSSIAN_SIZE,CANNY_LOW,CANNY_HIGH,DOWNSCALING_FACTOR,MAX_AREA,LANE_ANGLE,CROP_TOP
0,,65,True,False,5,8,20,0.2,21,,100
,score,n_files,HOUGH_OPENCV,HIST_EQUALIZATION,GAUSSIAN_SIZE,CANNY_LOW,CANNY_HIGH,DOWNSCALING_FACTOR,MAX_AREA,LANE_ANGLE,CROP_TOP
0,,65,True,False,5,8,20,0.2,21,,100
,score,n_files,HOUGH_OPENCV,HIST_EQUALIZATION,GAUSSIAN_SIZE,CANNY_LOW,CANNY_HIGH,DOWNSCALING_FACTOR,MAX_AREA,LANE_ANGLE,CROP_TOP
0,0.6391737488924268,65,True,False,5,8,20,0.2,21,,100
,score,n_files,HOUGH_OPENCV,HIST_EQUALIZATION,GAUSSIAN_SIZE,CANNY_LOW,CANNY_HIGH,DOWNSCALING_FACTOR,MAX_AREA,LANE_ANGLE,CROP_TOP
0,0.5758157002318715,65,True,False,5,8,20,0.2,21,,100
,score,n_files,HOUGH_OPENCV,HIST_EQUALIZATION,GAUSSIAN_SIZE,CANNY_LOW,CANNY_HIGH,DOWNSCALING_FACTOR,MAX_AREA,LANE_ANGLE,CROP_TOP
0,0.6445906056222662,65,True,False,5,8,20,0.2,21,,100
,score,n_files,HOUGH_OPENCV,HIST_EQUALIZATION,GAUSSIAN_SIZE,CANNY_LOW,CANNY_HIGH,DOWNSCALING_FACTOR,MAX_AREA,LANE_ANGLE,CROP_TOP
0,0.632851288207777,65,True,False,5,8,20,0.2,21,,100
,score,n_files,HOUGH_OPENCV,HIST_EQUALIZATION,GAUSSIAN_SIZE,CANNY_LOW,CANNY_HIGH,DOWNSCALING_FACTOR,MAX_AREA,LANE_ANGLE,CROP_TOP
0,0.6367820001605972,65,True,False,5,8,20,0.2,21,,100
,score,n_files,HOUGH_OPENCV,HIST_EQUALIZATION,GAUSSIAN_SIZE,CANNY_LOW,CANNY_HIGH,DOWNSCALING_FACTOR,MAX_AREA,LANE_ANGLE,CROP_TOP
0,0.6367820001605972,65,True,False,5,8,20,0.2,21,,100
,score,n_files,HOUGH_OPENCV,HIST_EQUALIZATION,GAUSSIAN_SIZE,CANNY_LOW,CANNY_HIGH,DOWNSCALING_FACTOR,MAX_AREA,LANE_ANGLE,CROP_TOP
0,0.6468194455527337,65,True,False,5,8,20,0.2,21,,100
